[2025-10-14 19:13:12] user-2 -> user-1 | [voice] voice_1760487192367.wav
[2025-10-14 22:46:12] user-2 -> user-1 | Hola
[2025-10-14 22:46:29] user-2 -> user-1 | [voice] voice_1760499989627.wav
[2025-10-14 22:53:06] user-2 -> user-1 | Hola
[2025-10-14 22:53:24] user-2 -> user-1 | [voice] voice_1760500404544.wav
[2025-10-14 22:57:29] user-1 -> user-2 | [voice] voice_1760500443308.wav
[2025-11-25 10:07:59] user-2 -> user-1 | Hola corazon
[2025-11-25 10:08:08] user-1 -> user-2 | Hola señor
[2025-11-25 10:19:59] user-1 -> user-2 | Hola
[2025-11-25 10:20:06] user-2 -> user-1 | hola
[2025-11-25 10:20:11] user-1 -> user-2 | que paso
[2025-11-25 10:31:32] user-1 -> user-2 | Hola
[2025-11-25 10:31:34] user-1 -> user-2 | Hola
[2025-11-25 10:31:40] user-2 -> user-1 | Como vas
[2025-11-25 10:31:41] user-2 -> user-1 | Como vas
[2025-11-25 10:38:33] user-2 -> user-1 | hola
[2025-11-25 10:38:35] user-2 -> user-1 | hola
[2025-11-25 10:38:41] user-1 -> user-2 | hola
[2025-11-25 10:38:41] user-1 -> user-2 | hola
[2025-11-25 10:38:47] user-1 -> user-2 | bueno
[2025-11-25 10:38:49] user-1 -> user-2 | bueno
[2025-11-25 10:38:51] user-2 -> user-1 | si bueno
[2025-11-25 10:38:53] user-2 -> user-1 | si bueno
[2025-11-25 10:50:33] user-1 -> user-2 | De que estas hablando
[2025-11-25 10:50:34] user-1 -> user-2 | De que estas hablando
[2025-11-25 10:56:12] user-2 -> user-1 | Hola
[2025-11-25 10:56:13] user-2 -> user-1 | Hola
[2025-11-25 10:56:18] user-1 -> user-2 | Hola
[2025-11-25 10:56:19] user-1 -> user-2 | Hola
[2025-11-25 11:02:04] user-1 -> user-2 | Hola
[2025-11-25 11:02:05] user-1 -> user-2 | Hola
[2025-11-25 11:02:19] user-2 -> user-1 | Ajá
[2025-11-25 11:02:21] user-2 -> user-1 | Ajá
[2025-11-25 11:02:25] user-2 -> user-1 | que jue
[2025-11-25 11:02:26] user-2 -> user-1 | que jue
[2025-11-25 11:02:27] user-1 -> user-2 | Nada pa
[2025-11-25 11:02:29] user-1 -> user-2 | Nada pa
[2025-11-25 11:24:52] user-2 -> user-1 | Hola
[2025-11-25 11:24:53] user-2 -> user-1 | Hola
[2025-11-25 11:25:44] user-1 -> user-2 | hola
[2025-11-25 11:25:45] user-1 -> user-2 | hola
