[2025-11-08 18:45:45] user-2 -> user-1 | Hola capo
[2025-11-08 18:46:22] user-2 -> user-1 | hola
[2025-11-25 08:56:42] user-2 -> user-1 | Hola
[2025-11-25 08:56:57] user-1 -> user-2 | Hola cómo estás
[2025-11-25 09:14:39] user-2 -> user-1 | Hola
[2025-11-25 09:14:50] user-1 -> user-2 | Hola
[2025-11-25 09:14:55] user-2 -> user-1 | Cómo estás
[2025-11-25 09:33:45] user-2 -> user-1 | Hola
[2025-11-25 09:33:53] user-2 -> user-1 | Hola
[2025-11-25 09:45:55] user-1 -> user-2 | Hola
[2025-11-25 09:46:11] user-2 -> user-1 | Hola
[2025-11-25 09:57:21] user-2 -> user-1 | Hola
[2025-11-25 10:07:59] user-2 -> user-1 | Hola corazon
[2025-11-25 10:08:08] user-1 -> user-2 | Hola señor
[2025-11-25 10:19:59] user-1 -> user-2 | Hola
[2025-11-25 10:20:06] user-2 -> user-1 | hola
[2025-11-25 10:20:11] user-1 -> user-2 | que paso
[2025-11-25 10:31:32] user-1 -> user-2 | Hola
[2025-11-25 10:31:40] user-2 -> user-1 | Como vas
[2025-11-25 10:38:33] user-2 -> user-1 | hola
[2025-11-25 10:38:41] user-1 -> user-2 | hola
[2025-11-25 10:38:47] user-1 -> user-2 | bueno
[2025-11-25 10:38:51] user-2 -> user-1 | si bueno
[2025-11-25 10:50:33] user-1 -> user-2 | De que estas hablando
[2025-11-25 10:56:12] user-2 -> user-1 | Hola
[2025-11-25 10:56:18] user-1 -> user-2 | Hola
[2025-11-25 11:02:04] user-1 -> user-2 | Hola
[2025-11-25 11:02:19] user-2 -> user-1 | Ajá
[2025-11-25 11:02:25] user-2 -> user-1 | que jue
[2025-11-25 11:02:27] user-1 -> user-2 | Nada pa
[2025-11-25 11:24:52] user-2 -> user-1 | Hola
[2025-11-25 11:25:44] user-1 -> user-2 | hola
